"","x"
"1","LLWYN"
"2","cy"
"3","EOS"
"4","en"
"5","pl"
"6","no"
"7","PENTRAETH"
"8","cy"
"9","ROAD"
"10","en"
"11","nl"
"12","pl"
"13","FFORDD"
"14","cy"
"15","BULL"
"16","en"
"17","fr"
"18","de"
"19","LAS"
"20","en"
"21","es"
"22","pt"
"23","RUTLAND"
"24","en"
"25","sv"
"26","LLECHOG"
"27","cy"
"28","GWILYM"
"29","cy"
"30","LON"
"31","en"
"32","vi"
"33","ga"
"34","HOLYHEAD"
"35","en"
"36","DEG"
"37","no"
"38","LLYS"
"39","cy"
"40","CAERGYBI"
"41","cy"
"42","STREET"
"43","en"
"44","pl"
"45","sv"
"46","DERWEN"
"47","cy"
"48","SQUARE"
"49","en"
"50","fr"
"51","nl"
"52","CASTLE"
"53","en"
"54","cs"
"55","gd"
"56","GWYN"
"57","en"
"58","ga"
"59","da"
"60","STRYD"
"61","cy"
"62","GLANHWFA"
"63","en"
"64","FAWR"
"65","cy"
"66","BAY"
"67","en"
"68","tr"
"69","vi"
"70","TERRACE"
"71","en"
"72","MAES"
"73","nl"
"74","da"
"75","cy"
"76","CADNANT"
"77","cy"
"78","PENMYNYDD"
"79","cy"
"80","STRYD-Y-BONT"
"81","cy"
"82","HIGH"
"83","en"
"84","nl"
"85","pl"
"86","CAPEL"
"87","nl"
"88","ga"
"89","gd"
"90","CHAPEL"
"91","en"
"92","pt"
"93","cy"
"94","BRIDGE"
"95","en"
"96","pt"
"97","fr"
"98","LLANDDEUSANT"
"99","cy"
"100","STAD"
"101","nl"
"102","pl"
"103","ga"
"104","BONT"
"105","nl"
"106","pl"
"107","hu"
"108","TELFORD"
"109","gd"
"110","ca"
"111","DERWYDD"
"112","cy"
"113","ALMA"
"114","en"
"115","es"
"116","pt"
"117","GWYNFRYN"
"118","cy"
"119","WEXHAM"
"120","en"
"121","TALWRN"
"122","cy"
"123","CAERWYN"
"124","cy"
"125","CHURCH"
"126","en"
"127","sr"
"128","CILDWRN"
"129","cy"
"130","DALAR"
"131","id"
"132","ALLT"
"133","ga"
"134","sv"
"135","gd"
"136","BULKELEY"
"137","en"
"138","LLANEILIAN"
"139","cy"
"140","STRYD-Y-CAE"
"141","cy"
"142","LLIGWY"
"143","ca"
"144","BAKERY"
"145","en"
"146","pl"
"147","TWR"
"148","cy"
"149","EGLWYS"
"150","cy"
"151","MINFFORDD"
"152","cy"
"153","BURWEN"
"154","lb"
"155","CUDYN"
"156","cy"
"157","MARKET"
"158","en"
"159","tr"
"160","it"
"161","BETHESDA"
"162","en"
"163","de"
"164","da"
"165","LANE"
"166","en"
"167","pt"
"168","it"
"169","MONA"
"170","en"
"171","es"
"172","pt"
"173","TANRALLT"
"174","az"
"175","CIL-BEDLAM"
"176","cy"
"177","en"
"178","fr"
"179","FIELD"
"180","en"
"181","nl"
"182","pl"
"183","UCHAF"
"184","cy"
"185","MOUNTAIN"
"186","en"
"187","BACH"
"188","en"
"189","pt"
"190","fr"
"191","CAE"
"192","es"
"193","ga"
"194","cs"
"195","GANOL"
"196","cy"
"197","BRO"
"198","en"
"199","sk"
"200","sv"
"201","GORAD"
"202","cy"
"203","PEN"
"204","en"
"205","pt"
"206","de"
"207","LEIDR"
"208","cy"
"209","et"
"210","THE"
"211","en"
"212","nl"
"213","vi"
"214","FELIN"
"215","pl"
"216","da"
"217","cy"
"218","SARN"
"219","pl"
"220","cy"
"221","et"
"222","BEACH"
"223","en"
"224","pl"
"225","ga"
"226","DALE"
"227","en"
"228","es"
"229","pt"
"230","DYWYLL"
"231","cy"
"232","BRYNDDU"
"233","cy"
"234","NEWYDD"
"235","cy"
"236","NANT"
"237","sr"
"238","cy"
"239","et"
"240","CLWCH"
"241","cy"
"242","FECWS"
"243","cy"
"244","GORS"
"245","nl"
"246","pl"
"247","cy"
"248","Y"
"249","en"
"250","es"
"251","pt"
"252","DWLL"
"253","cy"
